t_us,ch1,ch2,ch3,ch4,pc_time,label
368148162,1387,854,1053,1222,1770289239.11938,down
368152163,1391,871,1081,1247,1770289239.1233542,down
368156163,1445,919,1133,1308,1770289239.127399,down
368160164,1414,844,1050,1242,1770289239.131437,down
368164162,1380,834,1028,1212,1770289239.135443,down
368168163,1379,865,1072,1237,1770289239.139242,down
368172163,1436,916,1130,1308,1770289239.143289,down
368176163,1423,862,1073,1269,1770289239.1472452,down
368180164,1375,813,1000,1203,1770289239.151263,down
368184162,1375,859,1060,1225,1770289239.155332,down
368188163,1414,907,1122,1294,1770289239.159323,down
368192163,1431,885,1111,1293,1770289239.163339,down
368196164,1360,797,986,1190,1770289239.167187,down
368200164,1369,863,1064,1227,1770289239.171353,down
368204162,1407,890,1113,1276,1770289239.175359,down
368208163,1448,899,1119,1305,1770289239.179412,down
368212163,1355,783,963,1172,1770289239.183328,down
368216164,1369,876,1081,1239,1770289239.1874108,down
368220162,1408,889,1113,1284,1770289239.191413,down
368224162,1448,905,1122,1310,1770289239.1954,down
368228163,1367,793,979,1192,1770289239.199408,down
368232163,1376,867,1071,1233,1770289239.203498,down
368236164,1398,884,1101,1267,1770289239.207474,down
368240162,1452,909,1127,1311,1770289239.211549,down
368244162,1395,820,1017,1217,1770289239.2155368,down
368248163,1387,860,1059,1227,1770289239.219564,down
368252163,1392,874,1083,1250,1770289239.22358,down
368256164,1443,914,1126,1307,1770289239.227576,down
368260162,1407,838,1037,1229,1770289239.23152,down
368264162,1375,840,1031,1212,1770289239.2355158,down
368268163,1378,865,1075,1241,1770289239.2394838,down
368272163,1440,921,1136,1312,1770289239.243572,down
368276164,1425,855,1065,1253,1770289239.2475488,down
368280162,1374,818,1007,1202,1770289239.2515981,down
368284162,1373,859,1064,1225,1770289239.255541,down
368288163,1417,909,1126,1295,1770289239.259553,down
368292163,1425,877,1098,1284,1770289239.263575,down
368296164,1358,802,991,1195,1770289239.267467,down
368300162,1367,863,1064,1227,1770289239.2715662,down
368304162,1408,893,1117,1284,1770289239.275609,down
368308163,1438,896,1116,1305,1770289239.279607,down
368312163,1358,789,976,1187,1770289239.283478,down
368316164,1373,869,1072,1230,1770289239.287641,down
368320162,1404,888,1115,1283,1770289239.291574,down
368324162,1446,902,1121,1310,1770289239.295655,down
368328163,1358,785,968,1177,1770289239.299505,down
368332163,1372,871,1076,1237,1770289239.30366,down
368336162,1405,886,1111,1274,1770289239.307661,down
368340162,1455,907,1127,1310,1770289239.31164,down
368344162,1387,811,1001,1210,1770289239.315686,down
368348163,1386,865,1067,1229,1770289239.319658,down
368352164,1396,878,1091,1259,1770289239.323597,down
368356162,1445,913,1133,1309,1770289239.32767,down
368360162,1402,832,1034,1226,1770289239.331638,down
368364163,1381,851,1050,1221,1770289239.335677,down
